Placement,Reporting Ends,Reach,Impressions, Date,CampaignName,AdSetName,AdName,Frequency,LinkClicks,CTR,CPC,WebForms,CostPerWebForms,VideoPlays,VideoPlays50%,VideoPlays100%,Reporting Starts,Media Source,Creative,,,,Random Date
marketplace,2021-10-27,13,16,10/24/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,5,,,,,0,4,5,2021-10-27,Facebook,Fish,,,,10/24/2021 0:00
instream_video,2021-10-27,10,10,10/23/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,5,,,,,1,3,4,2021-10-27,Facebook,Fish,,,,10/23/2021 0:00
facebook_stories,2021-10-27,7,3,10/26/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,2,,,,,2,3,4,2021-10-27,Facebook,Fish,,,,10/26/2021 0:00
marketplace,2021-10-28,28,32,10/28/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,4,,,,,4,2,0,2021-10-28,Facebook,Fish,,,,10/28/2021 0:00
instream_video,2021-10-28,16,11,10/28/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,4,,,,,1,4,3,2021-10-28,Facebook,Fish,,,,10/28/2021 0:00
video_feeds,2021-10-28,12,8,10/23/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,2,,,,,4,4,3,2021-10-28,Facebook,Fish,,,,10/23/2021 0:00
instagram_explore,2021-10-28,8,9,10/24/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,0,,,,,5,2,4,2021-10-28,Instagram,Fish,,,,10/24/2021 0:00
instagram_stories,2021-10-29,23,24,11/3/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,2,,,,,3,1,3,2021-10-29,Instagram,Fish,,,,11/3/2021 0:00
instant_article,2021-10-29,6,8,10/25/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,2,,,,,4,3,4,2021-10-29,Facebook,Fish,,,,10/25/2021 0:00
instagram_explore,2021-10-29,7,5,11/3/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,3,,,,,1,1,3,2021-10-29,Instagram,Fish,,,,11/3/2021 0:00
marketplace,2021-10-29,5,7,11/3/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,2,,,,,1,0,2,2021-10-29,Facebook,Fish,,,,11/3/2021 0:00
video_feeds,2021-10-29,5,5,10/29/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,1,,,,,3,2,3,2021-10-29,Facebook,Fish,,,,10/29/2021 0:00
instream_video,2021-10-29,6,6,10/24/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,1,,,,,1,4,4,2021-10-29,Facebook,Fish,,,,10/24/2021 0:00
instagram_stories,2021-10-27,65,66,10/24/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,2,,,,,3,2,1,2021-10-27,Instagram,Fish,,,,10/24/2021 0:00
marketplace,2021-10-25,9,10,10/22/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,0,,,,,1,1,0,2021-10-25,Facebook,Fish,,,,10/22/2021 0:00
instream_video,2021-10-25,10,6,10/22/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,5,,,,,2,1,5,2021-10-25,Facebook,Fish,,,,10/22/2021 0:00
instagram_stories,2021-10-25,9,7,10/20/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,1,,,,,3,2,1,2021-10-25,Instagram,Fish,,,,10/20/2021 0:00
facebook_stories,2021-10-26,9,10,10/24/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,1,,,,,0,5,4,2021-10-26,Facebook,Fish,,,,10/24/2021 0:00
facebook_stories,2021-10-25,10,10,10/23/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,5,,,,,3,5,4,2021-10-25,Facebook,Fish,,,,10/23/2021 0:00
instagram_explore,2021-10-25,9,4,10/21/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,0,,,,,1,4,5,2021-10-25,Instagram,Fish,,,,10/21/2021 0:00
video_feeds,2021-10-25,3,7,10/27/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,0,,,,,3,5,2,2021-10-25,Facebook,Fish,,,,10/27/2021 0:00
instagram_stories,2021-10-26,103,101,10/23/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,5,,,,,2,0,4,2021-10-26,Instagram,Fish,,,,10/23/2021 0:00
marketplace,2021-10-28,2,2,10/25/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,3,,,,,4,0,4,2021-10-28,Facebook,Retargeting,,,,10/25/2021 0:00
instagram_explore,2021-10-26,3,4,10/21/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,2,,,,,1,3,2,2021-10-26,Instagram,Retargeting,,,,10/21/2021 0:00
instagram_stories,2021-10-27,4,5,10/30/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,5,,,,,1,2,3,2021-10-27,Instagram,Retargeting,,,,10/30/2021 0:00
marketplace,2021-10-27,4,1,10/29/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,5,,,,,1,0,2,2021-10-27,Facebook,Retargeting,,,,10/29/2021 0:00
facebook_stories,2021-10-27,5,1,10/30/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,0,,,,,1,4,2,2021-10-27,Facebook,Retargeting,,,,10/30/2021 0:00
instagram_stories,2021-10-28,12,7,10/28/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,0,,,,,5,3,4,2021-10-28,Instagram,Retargeting,,,,10/28/2021 0:00
facebook_stories,2021-10-28,9,9,10/25/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,3,,,,,3,1,2,2021-10-28,Facebook,Retargeting,,,,10/25/2021 0:00
marketplace,2021-10-26,4,3,10/28/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,2,,,,,3,4,0,2021-10-26,Facebook,Retargeting,,,,10/28/2021 0:00
instagram_stories,2021-10-29,7,3,10/26/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,1,,,,,1,5,5,2021-10-29,Instagram,Retargeting,,,,10/26/2021 0:00
marketplace,2021-10-29,2,2,11/1/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,1,,,,,2,0,4,2021-10-29,Facebook,Retargeting,,,,11/1/2021 0:00
instant_article,2021-10-29,5,5,10/27/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,2,,,,,1,3,5,2021-10-29,Facebook,Retargeting,,,,10/27/2021 0:00
facebook_stories,2021-10-29,6,3,10/29/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,3,,,,,5,1,3,2021-10-29,Facebook,Retargeting,,,,10/29/2021 0:00
video_feeds,2021-10-30,9,8,10/29/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,2,,,,,5,1,5,2021-10-30,Facebook,Retargeting,,,,10/29/2021 0:00
facebook_stories,2021-10-30,4,5,11/2/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,5,,,,,5,1,4,2021-10-30,Facebook,Retargeting,,,,11/2/2021 0:00
marketplace,2021-10-30,2,6,10/26/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,4,,,,,3,3,0,2021-10-30,Facebook,Retargeting,,,,10/26/2021 0:00
instant_article,2021-10-30,2,3,11/1/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,1,,,,,1,1,0,2021-10-30,Facebook,Retargeting,,,,11/1/2021 0:00
instagram_stories,2021-10-26,2,6,10/30/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,1,,,,,1,2,3,2021-10-26,Instagram,Retargeting,,,,10/30/2021 0:00
video_feeds,2021-10-26,4,4,10/23/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,1,,,,,0,4,5,2021-10-26,Facebook,Retargeting,,,,10/23/2021 0:00
marketplace,2021-10-31,32,28,10/29/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,0,,,,,1,1,1,2021-10-31,Facebook,Fish,,,,10/29/2021 0:00
instream_video,2021-10-30,7,10,10/25/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,2,,,,,2,3,5,2021-10-30,Facebook,Fish,,,,10/25/2021 0:00
instagram_explore,2021-10-31,31,27,11/3/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,0,,,,,5,1,5,2021-10-31,Instagram,Fish,,,,11/3/2021 0:00
video_feeds,2021-10-31,20,18,11/1/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,4,,,,,2,2,2,2021-10-31,Facebook,Fish,,,,11/1/2021 0:00
search,2021-10-31,2,7,10/26/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,3,,,,,5,2,3,2021-10-31,Facebook,Fish,,,,10/26/2021 0:00
instagram_stories,2021-10-30,14,16,10/31/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,5,,,,,2,5,0,2021-10-30,Instagram,Fish,,,,10/31/2021 0:00
instant_article,2021-10-30,12,10,10/26/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,5,,,,,1,1,1,2021-10-30,Facebook,Fish,,,,10/26/2021 0:00
video_feeds,2021-10-30,10,6,10/26/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,2,,,,,2,4,1,2021-10-30,Facebook,Fish,,,,10/26/2021 0:00
facebook_stories,2021-10-30,6,3,10/25/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,1,,,,,0,0,3,2021-10-30,Facebook,Fish,,,,10/25/2021 0:00
search,2021-10-30,2,6,10/29/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,5,,,,,0,1,2,2021-10-30,Facebook,Fish,,,,10/29/2021 0:00
marketplace,2021-10-30,3,6,10/28/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,1,,,,,5,5,3,2021-10-30,Facebook,Fish,,,,10/28/2021 0:00
facebook_stories,2021-10-31,14,14,11/2/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,1,,,,,4,5,4,2021-10-31,Facebook,Retargeting,,,,11/2/2021 0:00
instagram_stories,2021-10-31,11,6,10/27/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,1,,,,,5,5,4,2021-10-31,Instagram,Retargeting,,,,10/27/2021 0:00
video_feeds,2021-10-31,9,4,10/31/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,1,,,,,2,1,2,2021-10-31,Facebook,Retargeting,,,,10/31/2021 0:00
marketplace,2021-10-31,4,7,11/2/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,1,,,,,4,1,2,2021-10-31,Facebook,Retargeting,,,,11/2/2021 0:00
instream_video,2021-10-31,4,6,10/29/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,4,,,,,1,5,5,2021-10-31,Facebook,Retargeting,,,,10/29/2021 0:00
instant_article,2021-10-31,3,4,10/30/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,4,,,,,4,3,5,2021-10-31,Facebook,Retargeting,,,,10/30/2021 0:00
feed,2021-10-25,7,2,10/25/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Retargeting Static V1,1,5,,,,,1,1,0,2021-10-25,Facebook,Retargeting,,,,10/25/2021 0:00
instagram_explore,2021-10-26,206,205,10/23/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,2,,,,,3,2,2,2021-10-26,Instagram,Dog Grooming Services,,,,10/23/2021 0:00
video_feeds,2021-10-29,9,6,10/25/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,5,,,,,4,3,0,2021-10-29,Facebook,Dog Grooming Services,,,,10/25/2021 0:00
facebook_stories,2021-10-29,9,7,11/2/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,1,,,,,0,1,4,2021-10-29,Facebook,Dog Grooming Services,,,,11/2/2021 0:00
instagram_explore,2021-10-29,5,10,10/27/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,2,,,,,1,5,5,2021-10-29,Instagram,Dog Grooming Services,,,,10/27/2021 0:00
marketplace,2021-10-29,6,9,10/27/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,3,,,,,1,1,3,2021-10-29,Facebook,Dog Grooming Services,,,,10/27/2021 0:00
search,2021-10-29,3,2,10/27/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,5,,,,,1,1,0,2021-10-29,Facebook,Dog Grooming Services,,,,10/27/2021 0:00
instream_video,2021-10-29,6,4,10/29/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,2,,,,,0,4,5,2021-10-29,Facebook,Dog Grooming Services,,,,10/29/2021 0:00
instagram_stories,2021-10-29,15,20,10/30/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,2,,,,,2,5,0,2021-10-29,Instagram,Dog Grooming Services,,,,10/30/2021 0:00
instream_video,2021-10-30,50,51,11/4/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,1,,,,,3,1,2,2021-10-30,Facebook,Reptile,,,,11/4/2021 0:00
instagram_explore,2021-10-30,31,33,11/2/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,0,,,,,0,1,2,2021-10-30,Instagram,Reptile,,,,11/2/2021 0:00
search,2021-10-30,13,13,10/26/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,5,,,,,3,5,4,2021-10-30,Facebook,Reptile,,,,10/26/2021 0:00
instant_article,2021-10-29,15,17,10/25/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,0,,,,,3,4,1,2021-10-29,Facebook,Dog Grooming Services,,,,10/25/2021 0:00
facebook_stories,2021-10-27,15,15,10/31/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,4,,,,,0,2,2,2021-10-27,Facebook,Dog Grooming Services,,,,10/31/2021 0:00
instream_video,2021-10-26,14,15,10/26/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,0,,,,,0,1,1,2021-10-26,Facebook,Dog Grooming Services,,,,10/26/2021 0:00
marketplace,2021-10-26,11,9,10/29/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,3,,,,,2,4,3,2021-10-26,Facebook,Dog Grooming Services,,,,10/29/2021 0:00
facebook_stories,2021-10-26,10,8,10/27/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,4,,,,,4,3,3,2021-10-26,Facebook,Dog Grooming Services,,,,10/27/2021 0:00
marketplace,2021-10-27,14,17,11/1/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,4,,,,,5,3,1,2021-10-27,Facebook,Dog Grooming Services,,,,11/1/2021 0:00
instagram_explore,2021-10-28,2,4,10/28/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,5,,,,,0,2,5,2021-10-28,Instagram,Dog Grooming Services,,,,10/28/2021 0:00
instream_video,2021-10-27,6,8,10/30/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,3,,,,,2,4,3,2021-10-27,Facebook,Dog Grooming Services,,,,10/30/2021 0:00
instagram_explore,2021-10-27,3,6,10/25/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,2,,,,,2,1,0,2021-10-27,Instagram,Dog Grooming Services,,,,10/25/2021 0:00
video_feeds,2021-10-27,6,3,11/1/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,3,,,,,2,1,3,2021-10-27,Facebook,Dog Grooming Services,,,,11/1/2021 0:00
instagram_stories,2021-10-28,60,65,10/31/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,1,,,,,2,0,5,2021-10-28,Instagram,Dog Grooming Services,,,,10/31/2021 0:00
instant_article,2021-10-28,17,16,11/2/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,3,,,,,4,0,4,2021-10-28,Facebook,Dog Grooming Services,,,,11/2/2021 0:00
instream_video,2021-10-28,11,12,10/29/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,5,,,,,5,1,5,2021-10-28,Facebook,Dog Grooming Services,,,,10/29/2021 0:00
video_feeds,2021-10-28,4,5,10/30/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,5,,,,,4,0,3,2021-10-28,Facebook,Dog Grooming Services,,,,10/30/2021 0:00
instream_video,2021-10-31,135,140,11/2/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,0,,,,,1,3,4,2021-10-31,Facebook,Reptile,,,,11/2/2021 0:00
facebook_stories,2021-10-28,69,68,10/31/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,0,,,,,4,5,3,2021-10-28,Facebook,Reptile,,,,10/31/2021 0:00
instant_article,2021-10-28,25,20,11/1/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,5,,,,,5,3,5,2021-10-28,Facebook,Reptile,,,,11/1/2021 0:00
instagram_explore,2021-10-28,5,7,10/30/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,5,,,,,1,1,5,2021-10-28,Instagram,Reptile,,,,10/30/2021 0:00
search,2021-10-28,6,3,10/26/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,4,,,,,4,5,5,2021-10-28,Facebook,Reptile,,,,10/26/2021 0:00
instant_article,2021-10-29,31,33,10/26/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,1,,,,,1,4,5,2021-10-29,Facebook,Reptile,,,,10/26/2021 0:00
instream_video,2021-10-29,26,30,11/2/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,2,,,,,2,1,3,2021-10-29,Facebook,Reptile,,,,11/2/2021 0:00
instagram_explore,2021-10-29,20,19,11/2/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,3,,,,,2,4,0,2021-10-29,Instagram,Reptile,,,,11/2/2021 0:00
search,2021-10-29,6,7,11/3/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,0,,,,,4,3,1,2021-10-29,Facebook,Reptile,,,,11/3/2021 0:00
facebook_stories,2021-10-27,4,4,10/29/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,2,,,,,3,4,0,2021-10-27,Facebook,Reptile,,,,10/29/2021 0:00
instream_video,2021-10-27,7,6,10/29/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,2,,,,,5,1,1,2021-10-27,Facebook,Reptile,,,,10/29/2021 0:00
search,2021-10-31,6,4,10/28/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,2,,,,,1,3,2,2021-10-31,Facebook,Reptile,,,,10/28/2021 0:00
facebook_stories,2021-10-25,36,36,10/25/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,4,,,,,5,3,3,2021-10-25,Facebook,Reptile,,,,10/25/2021 0:00
video_feeds,2021-10-25,27,24,10/20/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,0,,,,,2,0,1,2021-10-25,Facebook,Reptile,,,,10/20/2021 0:00
marketplace,2021-10-25,27,25,10/28/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,3,,,,,1,4,3,2021-10-25,Facebook,Reptile,,,,10/28/2021 0:00
instagram_stories,2021-10-25,14,18,10/25/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,1,,,,,1,4,3,2021-10-25,Instagram,Reptile,,,,10/25/2021 0:00
instant_article,2021-10-25,7,3,10/28/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,4,,,,,3,0,5,2021-10-25,Facebook,Reptile,,,,10/28/2021 0:00
instagram_explore,2021-10-25,7,6,10/26/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,4,,,,,0,0,0,2021-10-25,Instagram,Reptile,,,,10/26/2021 0:00
instagram_explore,2021-10-26,31,31,10/31/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,1,,,,,3,5,2,2021-10-26,Instagram,Reptile,,,,10/31/2021 0:00
video_feeds,2021-10-27,5,4,10/22/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,2,,,,,1,0,5,2021-10-27,Facebook,Reptile,,,,10/22/2021 0:00
video_feeds,2021-10-26,11,10,10/30/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,4,,,,,2,2,0,2021-10-26,Facebook,Reptile,,,,10/30/2021 0:00
instagram_stories,2021-10-26,11,8,10/28/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,1,,,,,0,4,4,2021-10-26,Instagram,Reptile,,,,10/28/2021 0:00
facebook_stories,2021-10-26,11,8,10/23/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,0,,,,,3,4,5,2021-10-26,Facebook,Reptile,,,,10/23/2021 0:00
search,2021-10-26,4,8,10/27/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Shower Static V1,1,3,,,,,1,2,2,2021-10-26,Facebook,Reptile,,,,10/27/2021 0:00
